arm,seed,median_abs_relative_bias,spearman,regret,beats_status_quo
baseline,0,0.4679291293,0.6,2.915486128,0
baseline,1,0.7982221734,-0.4,4.152782032,0
baseline,2,0.6920204664,1,1.061776219,0
baseline,3,0.5764202454,0.7,2.577638703,0
baseline,4,0.5340085553,0.3,3.276342823,0
baseline,5,0.592288684,0.7,2.810434958,0
baseline,6,0.6085067753,0.1,4.153613892,0
baseline,7,0.5816641474,0.8,0.2413623666,1
baseline,8,0.5321011175,0.3,2.585046465,0
baseline,9,0.6141495395,-0.1,6.652383258,0
baseline,10,0.4452993366,0.9,3.655721451,0
baseline,11,0.4533177823,0.7,2.780239581,0
baseline,12,0.7861736923,0.1,4.03976191,0
baseline,13,0.7058996023,0.2,5.413847039,0
baseline,14,0.6084605697,0.9,5.664760227,0
baseline,15,0.5712588169,0.8,1.308136415,0
baseline,16,0.422086117,1,0.1640968866,1
baseline,17,0.4112680526,0.5,2.864105866,0
baseline,18,0.4605752429,0.8,0.4570708663,1
baseline,19,0.6382973896,0.6,1.41752449,0
baseline,20,0.446077663,0.3,2.213923732,0
baseline,21,0.5150367678,-0.6,1.591534421,0
baseline,22,0.307026274,0.6,5.205562244,0
baseline,23,0.455642923,0.9,0.8085497126,1
baseline,24,0.7603529643,0.4,3.60164359,0
baseline,25,0.7693887305,0.2,5.32601874,0
baseline,26,1.253079733,0.7,1.677811953,0
baseline,27,2.572489844,-0.1,2.727966044,0
baseline,28,0.5954200857,0.1,5.752137384,0
baseline,29,0.5138195628,0.7,5.311659935,0
baseline,30,0.5350765823,0.6,5.052053361,0
baseline,31,0.5332894061,0.9,2.209697805,0
baseline,32,0.2673822212,0.7,5.882889019,0
baseline,33,0.3734076744,0.9,1.089069786,0
baseline,34,0.4838890842,0.9,0.06347080859,1
baseline,35,0.7434165712,0.2,5.236330168,0
baseline,36,0.4496229995,0.7,4.71881156,0
baseline,37,0.3914839287,0.9,0.06294413963,1
baseline,38,0.6699812553,-0.7,6.299819219,0
baseline,39,0.34258453,0.9,1.273554981,0
baseline,40,0.4405843378,0.9,6.009021011,0
baseline,41,0.355868398,0.8,1.513871251,0
baseline,42,1.109264398,0.6,0.4589065373,1
baseline,43,1,0.8207826817,3.817672032,0
baseline,44,0.5139310232,0.7,2.98312221,0
baseline,45,0.4556978745,0.8,1.906286142,0
baseline,46,0.2817949969,0.4,2.471067474,0
