series,stage,channel,cv_rmse,decay,hill_shape,half_saturation,ridge_penalty,contribution,relative_bias,n_evaluations,converged
noisy,start,tv,30.94153035,0.7,1.8,60,1e-08,48082.00483,-0.07515064497,0,True
noisy,start,video,30.94153035,0.45,1.2,30,1e-08,26008.99621,-0.1149506684,0,True
noisy,start,search,30.94153035,0.1,0.9,18,1e-08,21905.60352,-0.0989825069,0,True
noisy,start,social,30.94153035,0.3,1,22,1e-08,13601.21658,-0.1566698102,0,True
noisy,start,ooh,30.94153035,0.6,2.2,25,1e-08,6009.408792,0.198787184,0,True
noisy,end,tv,30.60898814,0.760081837,3,68.26102543,1e-08,28074.11755,-0.4599990245,32407,True
noisy,end,video,30.60898814,0.5811401921,2.189052575,83.05650655,1e-08,8562.700328,-0.7086234262,32407,True
noisy,end,search,30.60898814,1.80755893e-11,2.999999989,17.22289145,1e-08,7870.309394,-0.676279796,32407,True
noisy,end,social,30.60898814,0.1881510314,1.702990711,53.76550495,1e-08,4432.623289,-0.7251595092,32407,True
noisy,end,ooh,30.60898814,0.6108071262,2.999999972,11.4076672,1e-08,9352.252224,0.865634457,32407,True
noiseless,start,tv,1.795852777e-05,0.7,1.8,60,1e-08,51988.95878,-1.03644489e-06,0,True
noiseless,start,video,1.795852777e-05,0.45,1.2,30,1e-08,29387.0317,-9.015213154e-07,0,True
noiseless,start,search,1.795852777e-05,0.1,0.9,18,1e-08,24312.04846,-1.03004841e-06,0,True
noiseless,start,social,1.795852777e-05,0.3,1,22,1e-08,16127.9638,-1.30943951e-06,0,True
noiseless,start,ooh,1.795852777e-05,0.6,2.2,25,1e-08,5012.896786,-2.05842784e-06,0,True
noiseless,end,tv,1.296489005e-05,0.7000001421,1.800026119,59.99981695,1e-08,51988.32903,-1.314952414e-05,2031,True
noiseless,end,video,1.296489005e-05,0.4500000906,1.20000609,30.00008029,1e-08,29386.83934,-7.447276435e-06,2031,True
noiseless,end,search,1.296489005e-05,0.09999990351,0.8999947732,17.99998256,1e-08,24312.18902,4.751614743e-06,2031,True
noiseless,end,social,1.296489005e-05,0.3000000648,1.000016844,21.99970146,1e-08,16127.77587,-1.296140329e-05,2031,True
noiseless,end,ooh,1.296489005e-05,0.6000004025,2.2000095,24.99983361,1e-08,5012.889757,-3.460515536e-06,2031,True
