max_multiplier,seed,regret,beats_status_quo,achievable_lift_share,channels_on_upper_bound,channels_zeroed_model,channels_zeroed_truth
1.3,0,0.6450353573,1,0.0113995067,2,0,1
1.3,1,2.673757146,0,0.0115353637,3,1,1
1.3,2,1.214718995,0,0.01088245056,1,2,1
1.3,3,2.659524407,0,0.01139071944,3,1,1
1.3,4,2.668363835,0,0.01134983725,3,1,1
1.3,5,0.5027336464,1,0.01099194859,2,1,1
1.3,6,2.786468197,0,0.01125056872,1,1,1
1.3,7,0.2105431955,1,0.01147926954,0,1,1
1.3,9,2.720628381,0,0.01102136678,3,1,1
1.3,10,2.86082625,0,0.01146301324,2,1,1
1.3,11,1.312696188,0,0.01109134131,2,0,1
1.3,12,2.959789814,0,0.01104700212,3,1,1
1.3,13,1.371263572,0,0.01085530625,2,1,1
1.3,14,2.900636996,0,0.01044747886,3,1,1
1.3,15,1.504467109,0,0.01154117552,1,1,1
1.3,16,0.1500343068,1,0.01066686811,0,1,1
1.3,17,2.858337917,0,0.01129874292,1,1,1
1.3,18,0.4392495537,1,0.01122262072,0,1,1
1.3,19,1.590786093,0,0.01114762713,2,1,1
1.3,20,2.604981514,0,0.01173755985,2,1,1
1.3,21,1.360298086,0,0.01093217982,1,0,1
1.3,22,2.950645918,0,0.01122803927,3,1,1
1.3,23,0.8017796132,1,0.01097618296,0,0,1
1.3,24,1.442769197,0,0.01129583684,2,1,1
1.3,25,3.020407428,0,0.01095948664,3,1,1
1.3,26,1.569663329,0,0.01101595367,1,0,1
1.3,27,3.012758603,0,0.01100939402,2,1,1
1.3,28,2.778178839,0,0.01088588255,1,1,1
1.3,29,2.769253799,0,0.01098331009,1,1,1
1.3,30,2.498151705,0,0.01121126174,3,1,1
1.3,31,0.6654605811,1,0.0112242756,2,1,1
1.3,32,0.5323073646,1,0.01098187766,1,1,1
1.3,33,1.22214965,0,0.01145935306,2,1,1
1.3,34,0.03687431957,1,0.01153440911,0,1,1
1.3,35,2.439733777,0,0.01120921081,2,1,1
1.3,36,3.073793185,0,0.01100480622,3,1,1
1.3,37,0.458080676,1,0.01138718381,1,0,1
1.3,38,2.759089542,0,0.01115814316,2,0,1
1.3,39,1.298296981,0,0.01149206391,1,1,1
1.3,40,1.592805763,0,0.01146345235,2,1,1
1.3,41,1.605171501,0,0.01126612457,1,1,1
1.3,42,0.4294356488,1,0.0118521134,0,0,1
1.3,43,2.50110317,0,0.01150890778,3,1,1
1.3,44,2.591638816,0,0.01058396941,3,1,1
1.3,45,1.619135919,0,0.01112032932,2,1,1
1.3,46,2.754457007,0,0.01095666663,2,1,1
1.3,47,1.526119101,0,0.01118529801,1,1,1
1.3,48,1.169258399,0,0.01120138929,2,2,1
1.3,49,2.740404868,0,0.01108750611,3,1,1
1.3,50,1.289805103,0,0.01180192365,2,1,1
1.3,51,1.061263024,0,0.01108157378,0,0,1
1.3,52,1.283325907,0,0.01093708079,2,1,1
1.3,53,1.162191134,0,0.0111463024,2,2,1
1.3,54,0.5051691232,1,0.01192336256,0,0,1
1.3,55,1.476416138,0,0.01121187136,0,1,1
1.3,56,0.3044631023,1,0.01179608469,1,1,1
1.3,57,1.843895117,0,0.01193249417,2,0,1
1.3,58,0.3757338939,1,0.01098394062,2,1,1
1.3,59,2.51232911,0,0.01130345101,3,1,1
1.3,60,2.678841539,0,0.01139661479,3,1,1
1.3,61,0.497078602,1,0.01117590024,1,0,1
1.3,62,0.2312460306,1,0.01132646463,0,1,1
1.3,63,0.9775000377,1,0.0111727217,1,0,1
1.3,64,0.9710463445,1,0.01132913784,0,0,1
1.3,65,0.1269190526,1,0.01146874599,1,1,1
1.3,66,2.996583121,0,0.0111859025,2,1,1
1.3,67,1.373683359,0,0.01148274699,2,1,1
1.3,68,1.203389113,0,0.01070762587,2,2,1
1.3,69,1.223433105,0,0.01130258004,2,1,1
1.3,70,2.670003018,0,0.01107725128,1,1,1
1.3,71,0.6218632552,1,0.01142200283,1,0,1
1.3,72,1.321327877,0,0.01129314593,1,1,1
1.3,73,1.453879225,0,0.01156671975,1,1,1
1.3,74,3.145250692,0,0.01136716555,4,0,1
1.3,75,2.75293899,0,0.01102943232,3,1,1
1.3,76,1.463921562,0,0.01125537431,3,1,1
1.3,77,2.715301336,0,0.01138497734,1,1,1
1.3,79,2.606760192,0,0.01138723709,1,1,1
1.3,80,1.081086958,0,0.01100583229,1,0,1
1.3,81,2.408608776,0,0.01192770544,1,1,1
1.3,82,1.412590177,0,0.01133640404,1,1,1
1.3,83,2.634312281,0,0.01122309313,1,1,1
1.3,84,1.48490711,0,0.01059381484,1,1,1
1.3,85,2.831319191,0,0.01072852676,3,1,1
1.3,86,0.4610417887,1,0.01122975544,1,1,1
1.3,87,2.790593252,0,0.01097937691,3,1,1
1.3,88,0.8725982406,1,0.01133221292,1,0,1
1.3,89,2.399228629,0,0.01158908917,1,1,1
1.3,90,0.2947884231,1,0.01122133245,1,1,1
1.3,91,1.382327548,0,0.01173262433,1,1,1
1.3,92,1.828584281,0,0.01096476432,2,1,1
1.3,93,0.5170844266,1,0.01192279613,1,0,1
1.3,94,0.8463069746,1,0.01164409438,0,0,1
1.3,95,2.87246119,0,0.01097466764,1,1,1
1.3,96,2.705627907,0,0.01132068782,3,1,1
1.3,97,0.4144149109,1,0.01119405864,1,1,1
1.3,98,1.137081689,0,0.01093936773,1,0,1
1.3,99,3.142293919,0,0.01128063499,3,0,1
1.3,100,1.533355092,0,0.01079707563,1,0,1
1.3,101,0.5732199285,1,0.01161737464,1,0,1
1.3,102,0.5845866326,1,0.01112348439,1,0,1
1.3,103,1.335339887,0,0.01126904865,1,1,1
1.3,104,2.314794834,0,0.01161759178,2,1,1
1.3,105,0.1978681692,1,0.01088465738,0,0,1
1.3,106,1.627981403,0,0.01113094802,2,1,1
1.3,107,0.7524089456,1,0.01181124927,1,0,1
1.3,108,3.123253784,0,0.01113108614,4,0,1
1.3,109,0.8892685715,1,0.01084666399,0,0,1
1.3,110,2.574456784,0,0.01103002645,0,1,1
1.3,111,2.860523229,0,0.01162952471,3,1,1
1.3,112,0.8132564277,1,0.01128064,0,0,1
1.3,113,1.094301722,0,0.01162536638,1,0,1
1.3,114,0.6923545345,1,0.01131192062,1,0,1
1.3,115,1.40649154,0,0.0114918771,1,0,1
1.3,116,0.9001795546,1,0.01151018968,2,1,1
1.3,117,1.00613521,0,0.01128466013,1,0,1
1.3,118,3.001938032,0,0.01111050295,2,1,1
1.3,119,2.702313122,0,0.01162942159,2,1,1
1.3,120,2.43111436,0,0.01152121912,1,1,1
1.3,121,1.378519049,0,0.01159323161,3,1,1
1.3,122,2.417989258,0,0.0118963716,2,1,1
1.3,123,1.538041989,0,0.01086526756,1,1,1
1.3,124,1.885251118,0,0.01062574375,2,0,1
1.3,125,0.3250085718,1,0.01156053517,2,1,1
1.3,126,2.931836705,0,0.01117354103,3,1,1
1.3,127,1.507275235,0,0.01150301006,2,0,1
1.3,128,1.138444549,0,0.01089372547,1,0,1
1.3,129,1.377516618,0,0.01141316004,1,0,1
1.3,130,2.721023372,0,0.01082785539,0,1,1
1.3,131,1.277133122,0,0.01075961628,2,1,1
1.3,132,0.6266118906,1,0.01103507742,2,1,1
1.3,133,0.5999381742,1,0.011387956,0,1,1
1.3,134,2.635066719,0,0.01163960461,2,1,1
1.3,135,2.304433832,0,0.01179356893,2,1,1
