series,hill_shape,half_saturation_ratio,half_saturation,cv_rmse,tv_contribution,relative_bias
noisy,0.5,0.3,16.41371293,31.05845661,248075.1166,3.771683552
noisy,0.5,0.3247910202,17.77008856,31.05579038,242123.9735,3.657214305
noisy,0.5,0.3516306893,19.23855064,31.05315217,236399.971,3.54711407
noisy,0.5,0.380688301,20.82836163,31.05054444,230894.3439,3.441214251
noisy,0.5,0.4121471388,22.5495494,31.04796952,225598.6717,3.339352878
noisy,0.5,0.4462056322,24.41297052,31.04542968,220504.8649,3.241374352
noisy,0.5,0.4830786083,26.43037866,31.04292706,215605.152,3.14712919
noisy,0.5,0.5229986467,28.61449883,31.04046372,210892.0667,3.05647378
noisy,0.5,0.5662175466,30.97910756,31.03804157,206358.436,2.969270148
noisy,0.5,0.6130079154,33.53911982,31.03566241,201997.3683,2.885385737
noisy,0.5,0.6636648873,36.31068314,31.03332791,197802.2422,2.804693185
noisy,0.5,0.718507986,39.3112794,31.03103959,193766.6958,2.727070123
noisy,0.5,0.7778831392,42.55983514,31.02879886,189884.6164,2.652398971
noisy,0.5,0.8421648612,46.07684091,31.02660698,186150.1301,2.580566749
noisy,0.5,0.9117586147,49.88448055,31.02446504,182557.5928,2.511464894
noisy,0.5,0.9871033687,54.00677109,31.02237404,179101.5807,2.444989077
noisy,0.5,1.068674367,58.46971426,31.0203348,175776.8815,2.381039041
noisy,0.5,1.156986126,63.30146048,31.018348,172578.4858,2.319518431
noisy,0.5,1.252595681,68.53248642,31.0164142,169501.5791,2.260334644
noisy,0.5,1.356106097,74.19578726,31.0145338,166541.534,2.20339867
noisy,0.5,1.468170276,80.32708479,31.01240542,163693.9027,2.148624957
noisy,0.5,1.589495072,86.96505272,31.01030752,160954.4097,2.095931264
noisy,0.5,1.720845753,94.15156064,31.00826452,158318.9448,2.045238536
noisy,0.5,1.863050826,101.9319381,31.0062766,155783.5568,1.99647077
noisy,0.5,2.017007261,110.3552605,31.00434383,153344.4468,1.949554895
noisy,0.5,2.183686153,119.4746588,31.00246615,150997.9623,1.904420658
noisy,0.5,2.364138845,129.3476544,31.0006434,148740.5915,1.861000504
noisy,0.5,2.559503557,140.0365221,30.99887528,146568.9571,1.819229478
noisy,0.5,2.771012572,151.6086829,30.99716143,144479.8116,1.779045113
noisy,0.5,3,164.1371293,30.99550136,142470.0319,1.740387335
noisy,0.6,0.3,16.41371293,31.07227886,222449.7077,3.278783079
noisy,0.6,0.3247910202,17.77008856,31.06819155,215870.6364,3.152235738
noisy,0.6,0.3516306893,19.23855064,31.06415969,209589.4798,3.031418737
noisy,0.6,0.380688301,20.82836163,31.06018886,203592.5385,2.916068571
noisy,0.6,0.4121471388,22.5495494,31.05628441,197866.76,2.805934174
noisy,0.6,0.4462056322,24.41297052,31.0524514,192399.7072,2.700776325
noisy,0.6,0.4830786083,26.43037866,31.04869461,187179.5298,2.600367082
