spend_log_sd,seed,channel,metric,value
0.15,0,tv,relative_bias,-0.638883436
0.15,0,tv,covered,0
0.15,0,video,relative_bias,0.2726004327
0.15,0,video,covered,1
0.15,0,search,relative_bias,-0.04053056736
0.15,0,search,covered,1
0.15,0,social,relative_bias,-0.5094599386
0.15,0,social,covered,1
0.15,0,ooh,relative_bias,2.961749739
0.15,0,ooh,covered,1
0.15,0,all,median_abs_relative_bias,0.5094599386
0.15,0,all,spearman,0.2
0.15,0,all,regret,3.11116461
0.15,0,all,beats_status_quo,0
0.15,0,all,achievable_lift_share,0.011951718
0.15,0,all,shortfall_from_optimum_share,0.03718376207
0.15,0,all,loss_vs_status_quo_share,0.02523204407
0.15,0,all,n_agreeing,3
0.15,1,tv,relative_bias,-0.4640189624
0.15,1,tv,covered,0
0.15,1,video,relative_bias,-0.8824744794
0.15,1,video,covered,0
0.15,1,search,relative_bias,-0.8318749932
0.15,1,search,covered,0
0.15,1,social,relative_bias,-0.1368837156
0.15,1,social,covered,1
0.15,1,ooh,relative_bias,15.34722857
0.15,1,ooh,covered,0
0.15,1,all,median_abs_relative_bias,0.8318749932
0.15,1,all,spearman,-0.4
0.15,1,all,regret,4.12278137
0.15,1,all,beats_status_quo,0
0.15,1,all,achievable_lift_share,0.01204200919
0.15,1,all,shortfall_from_optimum_share,0.04964657115
0.15,1,all,loss_vs_status_quo_share,0.03760456196
0.15,1,all,n_agreeing,3
0.15,2,tv,relative_bias,1.844581274
0.15,2,tv,covered,0
0.15,2,video,relative_bias,-0.1552771275
0.15,2,video,covered,1
0.15,2,search,relative_bias,0.3639905739
0.15,2,search,covered,1
0.15,2,social,relative_bias,-0.5500243674
0.15,2,social,covered,1
0.15,2,ooh,relative_bias,-1
0.15,2,ooh,covered,1
0.15,2,all,median_abs_relative_bias,0.5500243674
0.15,2,all,spearman,0.9
0.15,2,all,regret,1.155416696
0.15,2,all,beats_status_quo,0
0.15,2,all,achievable_lift_share,0.01162998244
0.15,2,all,shortfall_from_optimum_share,0.01343747589
0.15,2,all,loss_vs_status_quo_share,0.001807493447
0.15,2,all,n_agreeing,3
0.15,3,tv,relative_bias,0.440831827
0.15,3,tv,covered,0
0.15,3,video,relative_bias,-0.8581605495
0.15,3,video,covered,0
0.15,3,search,relative_bias,-0.1295755552
0.15,3,search,covered,1
0.15,3,social,relative_bias,-0.1225002095
0.15,3,social,covered,1
0.15,3,ooh,relative_bias,-0.5663634729
0.15,3,ooh,covered,1
0.15,3,all,median_abs_relative_bias,0.440831827
0.15,3,all,spearman,0.7
0.15,3,all,regret,2.382173287
0.15,3,all,beats_status_quo,0
0.15,3,all,achievable_lift_share,0.01185667545
0.15,3,all,shortfall_from_optimum_share,0.02824465554
0.15,3,all,loss_vs_status_quo_share,0.01638798009
0.15,3,all,n_agreeing,3
0.15,4,tv,relative_bias,-0.5184301051
0.15,4,tv,covered,0
0.15,4,video,relative_bias,-0.3430931124
0.15,4,video,covered,0
0.15,4,search,relative_bias,-0.754307462
0.15,4,search,covered,0
0.15,4,social,relative_bias,-0.08239740729
0.15,4,social,covered,1
0.15,4,ooh,relative_bias,0.5115029079
0.15,4,ooh,covered,1
0.15,4,all,median_abs_relative_bias,0.5115029079
